BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-01-01 07:30:00,96,1007,316001257,49.32203,-123.37482,19.0,70.3,0.3370952584230821,0.941470544812038
2019-01-01 07:31:06,97,1009,316001257,49.32405,-123.36638,19.3,69.7,0.34693565157325584,0.9378889346118976
2019-01-01 07:32:12,98,1010,316001257,49.32612,-123.35791,19.1,63.6,0.4446351791849275,0.8957117602394129
2019-01-01 07:33:13,99,1014,316001257,49.32975,-123.35188,19.0,37.7,0.79122353296749,0.6115270401858311
2019-01-01 07:34:17,100,1016,316001257,49.33432,-123.34678,19.5,35.6,0.8131007610470277,0.5821229701572894
2019-01-01 07:35:24,101,1018,316001257,49.33926,-123.34129,19.6,37.1,0.7975839288252285,0.6032079877452825
2019-01-01 07:36:29,102,1021,316001257,49.34398,-123.33585,19.5,36.6,0.8028174751911146,0.5962248749656158
2019-01-01 07:37:35,103,1024,316001257,49.34884,-123.33034,19.5,35.6,0.8131007610470277,0.5821229701572894
2019-01-01 07:38:47,104,1028,316001257,49.35412,-123.32467,19.7,34.4,0.8251134982782952,0.5649670034249379
2019-01-01 07:39:53,105,1030,316001257,49.35909,-123.31948,19.5,34.4,0.8251134982782952,0.5649670034249379
