BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-01-01 20:32:02,14,2862,316030904,49.40365,-123.30354,7.8,170.9,-0.9874138067509114,0.15815806725448356
2019-01-01 20:33:30,15,2869,316030904,49.40051,-123.30279,7.7,169.8,-0.984195607969242,0.177084740319583
2019-01-01 20:36:00,16,2873,316030904,49.39528,-123.30163,7.6,171.5,-0.9890158633619168,0.14780941112961082
2019-01-01 20:37:01,17,2880,316030904,49.39315,-123.30119,7.6,170.4,-0.985996037070505,0.16676874671610217
2019-01-01 20:39:00,18,2889,316030904,49.38894,-123.30029,7.7,175.4,-0.9967788784562471,0.08019892432885893
