BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-01-01 01:20:35,12,148,316003663,49.31798,-123.34993,11.5,266.0,-0.06975647374412558,-0.9975640502598242
2019-01-01 01:21:45,13,151,316003663,49.31768,-123.35562,11.5,265.0,-0.08715574274765825,-0.9961946980917455
2019-01-01 01:23:52,14,157,316003663,49.31755,-123.36588,11.3,273.0,0.052335956242943946,-0.9986295347545738
2019-01-01 01:25:41,15,162,316003663,49.31782,-123.3746,11.3,272.0,0.03489949670250128,-0.9993908270190958
2019-01-01 01:26:51,16,166,316003663,49.31794,-123.38027,11.3,273.0,0.052335956242943946,-0.9986295347545738
2019-01-01 01:29:15,17,169,316003663,49.31905,-123.39137,10.9,282.0,0.20791169081775943,-0.9781476007338056
