BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-01-01 05:21:55,153,733,316001251,49.42921,-123.31609,14.7,79.7,0.17880221511634958,0.9838850379335417
2019-01-01 05:22:58,154,736,316001251,49.42964,-123.30968,14.5,96.7,-0.11667073709933316,0.9931706495384861
2019-01-01 05:24:06,155,739,316001251,49.42774,-123.3033,15.2,125.2,-0.5764323161697932,0.8171448983351286
2019-01-01 05:27:08,156,743,316001251,49.41916,-123.28865,14.9,139.3,-0.7581343361976522,0.6520984038303921
2019-01-01 05:29:56,157,748,316001251,49.40971,-123.27846,14.7,145.9,-0.8280603346224944,0.5606389945632417
