BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-01-01 20:10:03,317,2742,316001251,49.36097,-123.32103,18.5,35.9,0.8100416404457961,0.5863723567357892
2019-01-01 20:11:09,319,2767,316001251,49.36552,-123.31588,18.4,36.3,0.8059282822485158,0.5920131787992196
2019-01-01 20:12:16,320,2769,316001251,49.37013,-123.31069,18.4,35.6,0.8131007610470277,0.5821229701572894
2019-01-01 20:13:21,321,2770,316001251,49.37456,-123.30572,16.5,36.6,0.8028174751911146,0.5962248749656158
2019-01-01 20:14:28,318,2763,316001251,49.37815,-123.30159,14.1,37.0,0.7986355100472928,0.6018150231520483
2019-01-01 20:15:39,322,2773,316001251,49.38198,-123.29717,14.8,36.8,0.8007313709487335,0.5990235985155858
2019-01-01 20:16:41,323,2781,316001251,49.38507,-123.29244,15.7,57.9,0.5313985795180829,0.8471219213821372
2019-01-01 20:17:46,324,2783,316001251,49.38635,-123.28557,14.3,86.4,0.0627905195293133,0.9980267284282716
2019-01-01 20:18:51,325,2793,316001251,49.38653,-123.28012,10.4,87.0,0.052335956242943966,0.9986295347545738
2019-01-01 20:19:55,327,2813,316001251,49.3859,-123.27539,10.9,120.0,-0.4999999999999998,0.8660254037844387
