,MMSI,BaseDateTime,LAT,LON,SOG,COG
57,316001251,2019-01-01T00:29:46,49.3075,-123.44862,18.9,52.9
59,316001251,2019-01-01T00:27:42,49.30078,-123.46186,18.5,52.8
60,316001251,2019-01-01T00:32:10,49.31498,-123.43307,19.0,62.1
61,316001251,2019-01-01T00:33:44,49.31845,-123.4218,18.8,70.0
66,316001251,2019-01-01T00:35:34,49.321,-123.40746,19.0,78.3
71,316001251,2019-01-01T00:38:04,49.32362,-123.38773,18.9,78.4
77,316001251,2019-01-01T00:43:20,49.33028,-123.34783,17.6,40.9
79,316001251,2019-01-01T00:44:34,49.33581,-123.34303,18.9,30.6
81,316001251,2019-01-01T00:42:10,49.32775,-123.35554,18.7,78.9
87,316001251,2019-01-01T00:45:46,49.3412,-123.33797,18.9,30.9
91,316001251,2019-01-01T00:46:47,49.34563,-123.33364,18.9,33.4
92,316001251,2019-01-01T00:47:52,49.3505,-123.32894,18.9,32.8
95,316001251,2019-01-01T00:48:58,49.35525,-123.32415,18.8,32.1
98,316001251,2019-01-01T00:54:00,49.37723,-123.30164,19.2,41.6
102,316001251,2019-01-01T00:57:06,49.38597,-123.28287,10.8,64.5
105,316001251,2019-01-01T01:00:00,49.38156,-123.27102,13.6,165.6
110,316001251,2019-01-01T00:58:08,49.38638,-123.27782,12.7,101.5
111,316001251,2019-01-01T01:01:10,49.37854,-123.27033,7.1,181.8
113,316001251,2019-01-01T00:59:12,49.38435,-123.27287,13.4,142.1
115,316001251,2019-01-01T01:03:00,49.3766,-123.27083,1.4,197.3
125,316001251,2019-01-01T01:09:00,49.37646,-123.2709,0.0,11.6
132,316001251,2019-01-01T01:14:00,49.37647,-123.27089,0.0,128.8
139,316001251,2019-01-01T01:15:21,49.37647,-123.27089,0.0,198.5
144,316001251,2019-01-01T01:18:00,49.37647,-123.27089,0.0,280.3
150,316001251,2019-01-01T01:19:21,49.37647,-123.27089,0.0,72.0
152,316001251,2019-01-01T01:20:40,49.37647,-123.27089,0.0,165.2
156,316001251,2019-01-01T01:21:59,49.37647,-123.27089,0.0,308.1
158,316001251,2019-01-01T01:24:20,49.37647,-123.27088,0.0,165.1
165,316001251,2019-01-01T01:26:40,49.37647,-123.27089,0.0,270.9
173,316001251,2019-01-01T01:28:00,49.37647,-123.27089,0.0,227.3
177,316001251,2019-01-01T01:29:06,49.37723,-123.27081,0.0,247.0
181,316001251,2019-01-01T01:31:30,49.37759,-123.27064,4.5,10.6
186,316001251,2019-01-01T01:35:02,49.3916,-123.27496,18.0,341.0
191,316001251,2019-01-01T01:30:20,49.37723,-123.27081,0.0,127.7
192,316001251,2019-01-01T01:37:02,49.40058,-123.27928,16.4,343.7
198,316001251,2019-01-01T01:39:26,49.41099,-123.28387,16.1,344.2
205,316001251,2019-01-01T01:41:44,49.42079,-123.28838,16.0,342.7
209,316001251,2019-01-01T01:44:44,49.43218,-123.29736,15.8,293.9
214,316001251,2019-01-01T01:46:06,49.43407,-123.30653,16.5,281.0
217,316001251,2019-01-01T01:48:10,49.43308,-123.32072,16.5,250.4
223,316001251,2019-01-01T01:49:50,49.43058,-123.33181,16.3,250.4
227,316001251,2019-01-01T01:51:38,49.42791,-123.34356,16.2,251.5
230,316001251,2019-01-01T01:53:44,49.42486,-123.35713,16.1,250.2
232,316001251,2019-01-01T01:54:56,49.42418,-123.36526,16.1,269.4
242,316001251,2019-01-01T01:59:26,49.42308,-123.39652,16.2,266.3
248,316001251,2019-01-01T01:58:14,49.42349,-123.38822,16.2,266.3
250,316001251,2019-01-01T02:00:02,49.42291,-123.40066,16.2,265.6
255,316001251,2019-01-01T02:01:14,49.42251,-123.40884,16.2,266.5
261,316001251,2019-01-01T02:02:44,49.42204,-123.41918,16.1,266.7
267,316001251,2019-01-01T02:03:50,49.42182,-123.42686,16.1,267.8
272,316001251,2019-01-01T02:05:08,49.42177,-123.43583,16.6,271.0
279,316001251,2019-01-01T02:06:22,49.42254,-123.44468,17.6,296.1
284,316001251,2019-01-01T02:08:50,49.43231,-123.4552,14.2,329.4
