BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2020-06-01 13:00:02,387,1718,316001247,49.38447,-123.3009,10.2,273.1,0.05407881298477529,-0.9985366703262117
2020-06-01 13:00:13,384,1712,316001247,49.3845,-123.30169,10.1,274.0,0.06975647374412522,-0.9975640502598243
2020-06-01 13:01:13,389,1722,316001247,49.38468,-123.30597,10.0,271.5,0.026176948307873114,-0.9996573249755573
2020-06-01 13:02:22,386,1717,316001247,49.38448,-123.31087,10.0,258.7,-0.19594614424251802,-0.980614658546613
2020-06-01 13:03:33,390,1724,316001247,49.38325,-123.31555,10.1,245.1,-0.4210358133674908,-0.9070440142914651
2020-06-01 13:04:53,391,1726,316001247,49.38172,-123.32077,9.9,245.7,-0.41151435860510915,-0.9114032766354451
2020-06-01 13:06:02,394,1732,316001247,49.38056,-123.32478,8.5,245.6,-0.41310442982454204,-0.910683660806177
2020-06-01 13:07:22,392,1730,316001247,49.37959,-123.32852,5.8,252.2,-0.30569530496310604,-0.9521293927421386
2020-06-01 13:08:33,395,1739,316001247,49.37931,-123.33027,1.7,266.1,-0.06801529066524767,-0.9976842788356053
2020-06-01 13:09:43,853,3957,316001247,49.37929,-123.33063,0.4,268.6,-0.024432178152652702,-0.9997014897811831
