,MMSI,BaseDateTime,LAT,LON,SOG,COG
592,316003676,2020-06-01T03:09:00,49.29055,-123.28694,8.5,36.4
599,316003676,2020-06-01T03:10:13,49.29282,-123.28423,8.6,37.5
602,316003676,2020-06-01T03:11:20,49.2948,-123.28154,8.6,43.1
604,316003676,2020-06-01T03:12:26,49.29652,-123.27857,8.6,51.3
610,316003676,2020-06-01T03:13:33,49.29816,-123.27524,8.6,56.1
612,316003676,2020-06-01T03:14:37,49.29975,-123.27217,8.6,44.9
2664,316003676,2020-06-01T18:46:56,49.32355,-123.27213,6.4,268.2
2677,316003676,2020-06-01T18:48:07,49.32347,-123.27531,6.5,267.1
2683,316003676,2020-06-01T18:50:40,49.3234,-123.28234,6.5,269.8
2684,316003676,2020-06-01T18:49:37,49.32341,-123.27948,6.5,268.9
2692,316003676,2020-06-01T18:54:07,49.3233,-123.29178,6.4,269.2
2693,316003676,2020-06-01T18:52:56,49.32333,-123.2886,6.4,269.0
2702,316003676,2020-06-01T18:56:40,49.32333,-123.29872,6.4,267.5
2714,316003676,2020-06-01T18:59:50,49.32329,-123.30738,6.5,269.4
2716,316003676,2020-06-01T19:00:03,49.32328,-123.30803,6.5,268.5
2722,316003676,2020-06-01T18:57:43,49.32332,-123.30162,6.4,270.5
2724,316003676,2020-06-01T19:04:23,49.32302,-123.31922,5.9,268.7
2730,316003676,2020-06-01T19:05:27,49.32298,-123.32186,5.9,268.5
2732,316003676,2020-06-01T19:02:10,49.32315,-123.31358,6.0,268.3
2733,316003676,2020-06-01T19:06:30,49.32292,-123.32448,5.9,267.4
2761,316003676,2020-06-01T19:08:40,49.32281,-123.32992,5.9,270.1
2768,316003676,2020-06-01T19:11:49,49.32267,-123.33788,5.9,270.4
2770,316003676,2020-06-01T19:10:46,49.3227,-123.33521,5.9,268.5
2778,316003676,2020-06-01T19:17:09,49.32268,-123.3511,5.9,267.9
2788,316003676,2020-06-01T19:16:07,49.3227,-123.34851,5.8,271.6
2790,316003676,2020-06-01T18:51:50,49.32336,-123.28554,6.5,268.6
2799,316003676,2020-06-01T19:19:37,49.32267,-123.35731,5.9,271.3
2801,316003676,2020-06-01T19:18:20,49.32264,-123.35404,5.9,269.3
2803,316003676,2020-06-01T19:22:57,49.32261,-123.36572,6.0,270.0
2804,316003676,2020-06-01T19:24:00,49.32265,-123.36841,6.0,272.8
2808,316003676,2020-06-01T19:20:38,49.3227,-123.35984,5.9,270.1
2809,316003676,2020-06-01T18:55:36,49.32334,-123.29582,6.4,271.5
2813,316003676,2020-06-01T19:26:09,49.32271,-123.37391,5.9,267.9
2825,316003676,2020-06-01T19:28:13,49.3227,-123.37909,5.8,271.4
2834,316003676,2020-06-01T19:30:27,49.32269,-123.38463,5.9,268.7
2853,316003676,2020-06-01T19:35:27,49.3226,-123.39721,5.9,267.2
2856,316003676,2020-06-01T19:31:37,49.32266,-123.38756,5.9,270.3
2874,316003676,2020-06-01T19:38:36,49.32252,-123.40521,5.9,267.8
2891,316003676,2020-06-01T19:39:37,49.32245,-123.40784,6.0,267.9
2896,316003676,2020-06-01T19:45:37,49.32224,-123.42307,5.9,268.7
2897,316003676,2020-06-01T19:09:43,49.32276,-123.3326,5.9,267.6
2906,316003676,2020-06-01T19:48:43,49.32257,-123.43082,6.0,284.9
2919,316003676,2020-06-01T19:52:06,49.32356,-123.43921,6.0,282.1
2942,316003676,2020-06-01T19:54:23,49.32483,-123.44478,6.0,294.0
2951,316003676,2020-06-01T19:58:46,49.32776,-123.45516,6.1,296.5
2956,316003676,2020-06-01T19:57:40,49.32691,-123.45256,6.2,296.9
2971,316003676,2020-06-01T20:02:57,49.33095,-123.46494,6.2,296.8
2973,316003676,2020-06-01T20:04:19,49.33196,-123.4682,6.2,295.7
3009,316003676,2020-06-01T19:34:06,49.32267,-123.39387,5.9,269.5
3030,316003676,2020-06-01T19:40:47,49.32243,-123.41076,6.0,270.8
3075,316003676,2020-06-01T19:55:27,49.32547,-123.44732,6.0,289.3
3092,316003676,2020-06-01T20:00:27,49.32893,-123.45917,6.1,293.5
3715,316003676,2020-06-01T19:01:06,49.32323,-123.31086,6.2,267.3
3716,316003676,2020-06-01T19:03:20,49.32309,-123.31654,5.9,267.6
3735,316003676,2020-06-01T19:12:50,49.32269,-123.34041,5.8,270.6
3737,316003676,2020-06-01T19:15:00,49.32264,-123.3457,5.8,271.4
3746,316003676,2020-06-01T19:21:47,49.32264,-123.36279,5.9,267.8
3749,316003676,2020-06-01T19:25:03,49.32272,-123.37113,6.0,271.2
3752,316003676,2020-06-01T19:32:57,49.32269,-123.39097,5.9,270.2
3780,316003676,2020-06-01T19:44:06,49.32227,-123.41919,5.9,269.5
3786,316003676,2020-06-01T19:50:56,49.3232,-123.43634,5.9,279.0
3787,316003676,2020-06-01T19:53:20,49.32411,-123.44225,6.0,290.1
3794,316003676,2020-06-01T20:01:46,49.32999,-123.46221,6.2,299.2
4126,316003676,2020-06-01T18:58:46,49.3233,-123.30445,6.4,268.7
4133,316003676,2020-06-01T19:07:37,49.32284,-123.32728,5.9,268.2
4134,316003676,2020-06-01T19:13:56,49.32265,-123.34311,5.8,268.4
4143,316003676,2020-06-01T19:27:10,49.32267,-123.37641,5.9,269.9
4148,316003676,2020-06-01T19:29:20,49.32272,-123.38187,5.9,269.5
4151,316003676,2020-06-01T19:36:30,49.32257,-123.39987,5.9,270.2
4152,316003676,2020-06-01T19:37:33,49.32258,-123.40259,6.0,268.7
4155,316003676,2020-06-01T19:41:50,49.32242,-123.41343,5.9,268.0
4156,316003676,2020-06-01T19:42:57,49.32233,-123.41631,6.0,266.9
4157,316003676,2020-06-01T19:46:39,49.32218,-123.42566,5.9,266.8
4161,316003676,2020-06-01T19:47:40,49.32215,-123.42817,6.0,276.4
4162,316003676,2020-06-01T19:49:47,49.32291,-123.43342,5.9,279.5
4165,316003676,2020-06-01T19:56:37,49.32612,-123.4501,6.1,292.6
