MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338235704,2019-09-08T05:58:39,31.10034,-81.33896,26.3,307.2,511.0,BRUNSWICK,IMO0000000,,50.0,,15.0,5.0,,,B
368004680,2019-09-08T05:55:26,31.16682,-81.41572,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367569620,2019-09-08T05:58:45,31.1672,-81.41449,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
538007762,2019-09-08T06:00:03,31.1275,-81.40308,0.0,199.7,155.0,,,,,0.0,,,,,A
311828000,2019-09-08T05:57:56,31.13155,-81.49311,0.0,182.1,344.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
367369550,2019-09-08T06:00:05,31.10542,-81.44838,11.6,90.0,88.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
338184094,2019-09-08T05:58:59,31.15499,-81.49959,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
368004680,2019-09-08T05:58:27,31.16682,-81.41569,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367691290,2019-09-08T05:58:42,31.1421,-81.49645,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367305420,2019-09-08T06:00:06,31.10908,-81.42929,10.9,82.7,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367369550,2019-09-08T05:59:26,31.10559,-81.45073,11.8,98.3,99.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
338102856,2019-09-08T06:00:07,31.16629,-81.41428,4.2,206.4,511.0,RESPONDER,,,31.0,0.0,10.0,3.0,,,A
339759000,2019-09-08T05:59:50,31.15717,-81.49973,0.0,284.2,0.0,REGALEC,,6YTT3,37.0,5.0,19.0,6.0,2.0,37.0,A
338102861,2019-09-08T05:59:56,31.16742,-81.41392,0.7,277.8,511.0,RECOVERY,,,90.0,0.0,10.0,3.0,,,A
538004697,2019-09-08T06:00:01,31.10486,-81.45326,10.0,284.2,288.0,EMERALD ACE,IMO9539236,V7YO3,70.0,0.0,199.0,32.0,9.7,70.0,A
367753660,2019-09-08T06:00:30,31.15608,-81.49925,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
367762440,2019-09-08T06:00:47,31.15412,-81.49952,0.1,340.5,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
369201000,2019-09-08T06:00:07,31.15669,-81.49929,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
338143506,2019-09-08T05:59:58,31.15967,-81.49969,0.0,81.0,511.0,MORNING SUN II,,,37.0,,13.0,,,,B
311828000,2019-09-08T06:00:56,31.13155,-81.49311,0.0,180.0,344.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
339759000,2019-09-08T05:56:49,31.15718,-81.49973,0.0,287.3,0.0,REGALEC,,6YTT3,37.0,5.0,19.0,6.0,2.0,37.0,A
338235704,2019-09-08T06:00:10,31.1064,-81.34981,27.1,297.7,511.0,BRUNSWICK,IMO0000000,,50.0,,15.0,5.0,,,B
338102861,2019-09-08T06:00:16,31.16707,-81.41393,6.3,165.6,511.0,RECOVERY,,,90.0,0.0,10.0,3.0,,,A
367691290,2019-09-08T06:00:23,31.14211,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-08T06:01:16,31.10597,-81.44388,12.1,78.4,78.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367063030,2019-09-08T06:00:51,31.11408,-81.4884,0.0,0.0,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,5.0,51.0,12.0,,60.0,A
368004680,2019-09-08T06:01:25,31.16681,-81.41571,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
