MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367369550,2019-09-07T00:00:06,31.14313,-81.49662,0.0,37.1,168.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367073890,2019-09-07T00:00:06,31.1421,-81.49632,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
369201000,2019-09-07T00:00:07,31.15667,-81.49924,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367691290,2019-09-07T00:00:05,31.14178,-81.49633,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367305420,2019-09-07T00:00:07,31.14346,-81.49677,0.0,265.5,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367682410,2019-09-07T00:00:17,31.12201,-81.42339,0.0,257.3,511.0,GREAT WHITE,IMO9750646,WDI2852,90.0,,42.0,,,,B
367063030,2019-09-07T00:00:18,31.11728,-81.3636,12.2,124.4,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367753660,2019-09-07T00:00:31,31.15611,-81.49924,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
338335542,2019-09-07T00:00:50,31.16744,-81.41487,0.0,149.5,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367073890,2019-09-07T00:01:07,31.1421,-81.4963,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367691290,2019-09-07T00:01:15,31.14179,-81.4963,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367305420,2019-09-07T00:01:17,31.14346,-81.49676,0.0,336.6,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367157730,2019-09-07T00:01:20,31.15825,-81.49931,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
367369550,2019-09-07T00:01:14,31.14313,-81.49662,0.0,105.5,166.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
368004680,2019-09-07T00:01:26,31.16683,-81.41572,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367063030,2019-09-07T00:01:38,31.11476,-81.35927,12.1,128.1,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367569620,2019-09-07T00:01:45,31.1672,-81.41449,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
367617760,2019-09-07T00:02:15,31.13899,-81.49538,0.0,149.4,511.0,CAPT JACK,IMO0000000,,30.0,,0.0,0.0,,,B
367073890,2019-09-07T00:02:16,31.1421,-81.49632,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
369273000,2019-09-07T00:02:13,31.16041,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367094180,2019-09-07T00:02:01,31.15501,-81.49941,0.0,169.5,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
338184094,2019-09-07T00:01:59,31.155,-81.49957,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367691290,2019-09-07T00:02:24,31.14179,-81.49631,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-07T00:02:15,31.14312,-81.49662,0.0,41.5,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367305420,2019-09-07T00:02:27,31.14345,-81.49677,0.0,215.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367762440,2019-09-07T00:02:21,31.15411,-81.49954,0.0,149.1,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
367063030,2019-09-07T00:02:58,31.11206,-81.35512,12.1,119.1,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
339759000,2019-09-07T00:02:47,31.15715,-81.49973,0.0,266.0,0.0,REGALEC,,6YTT3,37.0,5.0,19.0,6.0,2.0,37.0,A
369201000,2019-09-07T00:03:07,31.15665,-81.49923,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367073890,2019-09-07T00:03:36,31.1421,-81.49632,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-07T00:03:25,31.14312,-81.49662,0.0,19.4,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
338335542,2019-09-07T00:03:49,31.16743,-81.41489,0.0,149.5,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367682410,2019-09-07T00:03:16,31.12206,-81.42343,0.0,259.1,511.0,GREAT WHITE,IMO9750646,WDI2852,90.0,,42.0,,,,B
367305420,2019-09-07T00:03:36,31.14345,-81.49678,0.0,357.5,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367063030,2019-09-07T00:04:08,31.11004,-81.35121,12.0,123.8,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367691290,2019-09-07T00:03:25,31.1418,-81.4963,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367157730,2019-09-07T00:04:19,31.15826,-81.49931,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
367753660,2019-09-07T00:03:29,31.15611,-81.49923,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
368004680,2019-09-07T00:04:25,31.16684,-81.41572,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367691290,2019-09-07T00:04:44,31.14179,-81.4963,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-07T00:04:34,31.14312,-81.49663,0.0,8.1,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367305420,2019-09-07T00:04:46,31.14345,-81.49676,0.0,229.2,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
338184094,2019-09-07T00:04:59,31.155,-81.49958,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367569620,2019-09-07T00:04:45,31.16721,-81.41449,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
367063030,2019-09-07T00:05:18,31.10787,-81.34745,12.0,121.4,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367073890,2019-09-07T00:04:55,31.14209,-81.49631,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367617760,2019-09-07T00:05:15,31.13899,-81.49539,0.0,149.4,511.0,CAPT JACK,IMO0000000,,30.0,,0.0,0.0,,,B
369273000,2019-09-07T00:05:13,31.1604,-81.49996,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367691290,2019-09-07T00:05:54,31.1418,-81.49628,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367094180,2019-09-07T00:05:02,31.155,-81.49942,0.0,169.5,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
367682410,2019-09-07T00:06:17,31.12199,-81.42346,0.0,258.6,511.0,GREAT WHITE,IMO9750646,WDI2852,90.0,,42.0,,,,B
367073890,2019-09-07T00:06:07,31.1421,-81.49631,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367753660,2019-09-07T00:06:29,31.15612,-81.49924,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
369201000,2019-09-07T00:06:07,31.15669,-81.49924,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367063030,2019-09-07T00:06:58,31.10437,-81.34332,8.8,164.3,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367762440,2019-09-07T00:05:21,31.15413,-81.49954,0.1,149.1,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
368004680,2019-09-07T00:07:25,31.16682,-81.41572,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367305420,2019-09-07T00:06:56,31.14345,-81.49677,0.0,247.0,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
338335542,2019-09-07T00:06:49,31.16743,-81.41487,0.0,149.5,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367691290,2019-09-07T00:07:23,31.14178,-81.49627,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-07T00:05:35,31.14312,-81.49662,0.0,36.0,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367157730,2019-09-07T00:07:19,31.15825,-81.4993,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
339759000,2019-09-07T00:05:47,31.15716,-81.49972,0.0,260.1,0.0,REGALEC,,6YTT3,37.0,5.0,19.0,6.0,2.0,37.0,A
367305420,2019-09-07T00:05:47,31.14346,-81.49676,0.0,312.2,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367094180,2019-09-07T00:08:00,31.15501,-81.49941,0.0,169.5,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
367073890,2019-09-07T00:08:26,31.1421,-81.49631,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367617760,2019-09-07T00:08:15,31.13899,-81.49539,0.0,149.4,511.0,CAPT JACK,IMO0000000,,30.0,,0.0,0.0,,,B
369273000,2019-09-07T00:08:13,31.1604,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367073890,2019-09-07T00:07:16,31.14209,-81.49631,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367305420,2019-09-07T00:08:07,31.14345,-81.49677,0.0,239.0,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
339759000,2019-09-07T00:08:47,31.15717,-81.49972,0.0,263.4,0.0,REGALEC,,6YTT3,37.0,5.0,19.0,6.0,2.0,37.0,A
367762440,2019-09-07T00:08:21,31.15416,-81.49956,0.0,149.1,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
367569620,2019-09-07T00:07:44,31.16721,-81.41449,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
367691290,2019-09-07T00:08:35,31.14179,-81.49629,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-07T00:06:46,31.1431,-81.49663,0.0,26.8,168.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367305420,2019-09-07T00:09:17,31.14345,-81.49677,0.0,250.5,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
369201000,2019-09-07T00:09:07,31.15671,-81.49925,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367369550,2019-09-07T00:07:55,31.1431,-81.49662,0.0,18.8,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367063030,2019-09-07T00:08:09,31.10215,-81.34328,5.4,183.7,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
338184094,2019-09-07T00:07:59,31.15501,-81.49958,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367369550,2019-09-07T00:09:25,31.1431,-81.49663,0.0,18.5,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367063030,2019-09-07T00:09:18,31.10068,-81.34279,4.1,136.3,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367691290,2019-09-07T00:10:05,31.14179,-81.49628,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367753660,2019-09-07T00:09:31,31.1561,-81.49923,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
367682410,2019-09-07T00:09:17,31.12204,-81.42341,0.0,264.2,511.0,GREAT WHITE,IMO9750646,WDI2852,90.0,,42.0,,,,B
367073890,2019-09-07T00:10:05,31.14211,-81.49632,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
338335542,2019-09-07T00:09:48,31.16742,-81.41489,0.0,149.5,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367305420,2019-09-07T00:10:47,31.14346,-81.49677,0.0,244.8,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367063030,2019-09-07T00:10:59,31.09997,-81.341,4.4,111.3,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
368004680,2019-09-07T00:10:26,31.16683,-81.41571,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367369550,2019-09-07T00:10:35,31.14311,-81.49665,0.0,121.1,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367073890,2019-09-07T00:11:17,31.14209,-81.49629,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367569620,2019-09-07T00:10:45,31.16721,-81.41448,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
367617760,2019-09-07T00:11:15,31.13899,-81.49539,0.0,149.4,511.0,CAPT JACK,IMO0000000,,30.0,,0.0,0.0,,,B
367369550,2019-09-07T00:12:15,31.14309,-81.49665,0.0,29.9,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
338184094,2019-09-07T00:10:58,31.155,-81.49958,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367073890,2019-09-07T00:12:26,31.14208,-81.49632,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
339759000,2019-09-07T00:11:47,31.15716,-81.49973,0.0,266.6,0.0,REGALEC,,6YTT3,37.0,5.0,19.0,6.0,2.0,37.0,A
367305420,2019-09-07T00:11:57,31.14345,-81.49676,0.0,4.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
369201000,2019-09-07T00:12:08,31.15673,-81.49925,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367063030,2019-09-07T00:12:39,31.09894,-81.33942,3.1,137.1,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367157730,2019-09-07T00:10:22,31.15824,-81.49931,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
368004680,2019-09-07T00:13:25,31.16682,-81.41571,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367682410,2019-09-07T00:12:17,31.12208,-81.42344,0.0,262.5,511.0,GREAT WHITE,IMO9750646,WDI2852,90.0,,42.0,,,,B
338335542,2019-09-07T00:12:49,31.16742,-81.41487,0.0,149.5,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367369550,2019-09-07T00:13:35,31.1431,-81.49664,0.0,24.7,166.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367157730,2019-09-07T00:13:19,31.15824,-81.49931,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
367305420,2019-09-07T00:13:07,31.14345,-81.49676,0.0,201.7,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367305420,2019-09-07T00:14:16,31.14345,-81.49676,0.0,241.4,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367063030,2019-09-07T00:14:19,31.098,-81.33849,2.8,138.4,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367073890,2019-09-07T00:13:47,31.1421,-81.49633,0.0,360.0,511.0,MISS LUPE,IMO8842674,WDC7603,30.0,15.0,23.0,6.0,,,A
367569620,2019-09-07T00:13:44,31.1672,-81.41448,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
338184094,2019-09-07T00:13:59,31.15502,-81.49957,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
338235704,2019-09-07T00:15:00,31.10731,-81.34916,23.7,304.1,511.0,BRUNSWICK,IMO0000000,,50.0,,15.0,5.0,,,B
338235704,2019-09-07T00:13:31,31.10193,-81.33948,24.5,294.4,511.0,BRUNSWICK,IMO0000000,,50.0,,15.0,5.0,,,B
369273000,2019-09-07T00:11:13,31.1604,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367617760,2019-09-07T00:14:15,31.13899,-81.49539,0.0,149.4,511.0,CAPT JACK,IMO0000000,,30.0,,0.0,0.0,,,B
367762440,2019-09-07T00:14:22,31.15413,-81.49951,0.1,149.1,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
367762440,2019-09-07T00:11:23,31.15414,-81.49953,0.1,149.1,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
369273000,2019-09-07T00:14:15,31.1604,-81.49995,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367369550,2019-09-07T00:16:05,31.14309,-81.49664,0.0,346.2,167.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367682410,2019-09-07T00:15:17,31.12207,-81.42345,0.0,251.0,511.0,GREAT WHITE,IMO9750646,WDI2852,90.0,,42.0,,,,B
