,MMSI,BaseDateTime,LAT,LON,SOG,COG
1809,338184094,2019-09-08T04:16:59,31.155,-81.49959,0.0,115.7
1835,338184094,2019-09-08T04:19:59,31.155,-81.49956,0.0,115.7
1855,338184094,2019-09-08T04:22:59,31.15501,-81.49956,0.0,115.7
1878,338184094,2019-09-08T04:25:58,31.15502,-81.49957,0.0,115.7
1905,338184094,2019-09-08T04:28:59,31.15501,-81.49956,0.0,115.7
1923,338184094,2019-09-08T04:32:01,31.155,-81.49957,0.0,115.7
1931,338184094,2019-09-08T04:35:00,31.155,-81.49956,0.0,115.7
1959,338184094,2019-09-08T04:37:59,31.15502,-81.49957,0.0,115.7
1978,338184094,2019-09-08T04:40:58,31.155,-81.49956,0.0,115.7
1987,338184094,2019-09-08T04:44:01,31.155,-81.49956,0.0,115.7
2006,338184094,2019-09-08T04:46:59,31.155,-81.49956,0.0,115.7
2030,338184094,2019-09-08T04:49:59,31.155,-81.49957,0.0,115.7
2032,338184094,2019-09-08T04:52:59,31.15499,-81.49956,0.0,115.7
2062,338184094,2019-09-08T04:55:59,31.155,-81.49955,0.0,115.7
2073,338184094,2019-09-08T04:59:00,31.15501,-81.49958,0.0,115.7
2120,338184094,2019-09-08T05:05:01,31.15499,-81.49956,0.0,115.7
2134,338184094,2019-09-08T05:07:59,31.15499,-81.49959,0.0,115.7
2156,338184094,2019-09-08T05:10:59,31.155,-81.49957,0.0,115.7
2180,338184094,2019-09-08T05:14:01,31.155,-81.49957,0.0,115.7
2196,338184094,2019-09-08T05:17:01,31.15499,-81.49957,0.0,115.7
2221,338184094,2019-09-08T05:19:59,31.15501,-81.49957,0.0,115.7
2241,338184094,2019-09-08T05:23:03,31.15499,-81.49958,0.0,115.7
2263,338184094,2019-09-08T05:26:00,31.155,-81.49958,0.0,115.7
2281,338184094,2019-09-08T05:28:59,31.15501,-81.49957,0.0,115.7
2313,338184094,2019-09-08T05:31:59,31.155,-81.49958,0.0,115.7
2336,338184094,2019-09-08T05:34:59,31.155,-81.49958,0.0,115.7
2341,338184094,2019-09-08T05:37:59,31.15501,-81.49958,0.0,115.7
2405,338184094,2019-09-08T05:43:58,31.15501,-81.49958,0.0,115.7
2432,338184094,2019-09-08T05:46:59,31.15502,-81.49956,0.0,115.7
2449,338184094,2019-09-08T05:49:59,31.155,-81.49957,0.0,115.7
