,MMSI,BaseDateTime,LAT,LON,SOG,COG
7,367753660,2019-09-08T00:00:30,31.15612,-81.49926,0.0,226.4
25,367753660,2019-09-08T00:03:29,31.15613,-81.49925,0.0,226.4
48,367753660,2019-09-08T00:06:30,31.1561,-81.49926,0.0,226.4
74,367753660,2019-09-08T00:09:30,31.15612,-81.49923,0.0,226.4
96,367753660,2019-09-08T00:12:30,31.15609,-81.49923,0.0,226.4
117,367753660,2019-09-08T00:15:29,31.15609,-81.49922,0.0,226.4
144,367753660,2019-09-08T00:18:29,31.15611,-81.49926,0.0,226.4
190,367753660,2019-09-08T00:24:29,31.15606,-81.49926,0.0,226.4
215,367753660,2019-09-08T00:27:30,31.1561,-81.49923,0.0,226.4
235,367753660,2019-09-08T00:30:28,31.15613,-81.49923,0.0,226.4
253,367753660,2019-09-08T00:33:29,31.15612,-81.49922,0.0,226.4
297,367753660,2019-09-08T00:39:30,31.15611,-81.4992,0.0,226.4
316,367753660,2019-09-08T00:42:30,31.15612,-81.49923,0.0,226.4
330,367753660,2019-09-08T00:45:32,31.15611,-81.49922,0.0,226.4
363,367753660,2019-09-08T00:48:30,31.15614,-81.4992,0.0,226.4
377,367753660,2019-09-08T00:51:31,31.15612,-81.49922,0.0,226.4
392,367753660,2019-09-08T00:54:30,31.15613,-81.49922,0.0,226.4
417,367753660,2019-09-08T00:57:30,31.15609,-81.49923,0.0,226.4
433,367753660,2019-09-08T01:00:29,31.15608,-81.49923,0.0,226.4
506,367753660,2019-09-08T01:09:29,31.1561,-81.49921,0.0,226.4
554,367753660,2019-09-08T01:15:29,31.1561,-81.49924,0.0,226.4
588,367753660,2019-09-08T01:18:32,31.15608,-81.49923,0.0,226.4
609,367753660,2019-09-08T01:24:30,31.1561,-81.49923,0.0,226.4
664,367753660,2019-09-08T01:33:29,31.15608,-81.49927,0.0,226.4
669,367753660,2019-09-08T01:30:29,31.1561,-81.49925,0.0,226.4
694,367753660,2019-09-08T01:36:31,31.1561,-81.49926,0.0,226.4
712,367753660,2019-09-08T01:39:30,31.1561,-81.49925,0.0,226.4
728,367753660,2019-09-08T01:42:29,31.1561,-81.49923,0.0,226.4
749,367753660,2019-09-08T01:45:30,31.1561,-81.49925,0.0,226.4
768,367753660,2019-09-08T01:48:30,31.15611,-81.49924,0.0,226.4
788,367753660,2019-09-08T01:51:29,31.15609,-81.49923,0.0,226.4
828,367753660,2019-09-08T01:57:32,31.15611,-81.49923,0.0,226.4
850,367753660,2019-09-08T02:00:31,31.1561,-81.49921,0.0,226.4
863,367753660,2019-09-08T02:03:30,31.15609,-81.49924,0.0,226.4
892,367753660,2019-09-08T02:06:29,31.1561,-81.49924,0.0,226.4
920,367753660,2019-09-08T02:09:29,31.15609,-81.49926,0.0,226.4
938,367753660,2019-09-08T02:12:29,31.15608,-81.49924,0.0,226.4
957,367753660,2019-09-08T02:15:30,31.15608,-81.49925,0.0,226.4
