BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-09-08 07:10:06,59,3244,338102861,31.12972,-81.40443,2.9,78.7,0.1959461442425177,0.980614658546613
2019-09-08 07:11:08,54,3203,338102861,31.12909,-81.40328,3.8,153.8,-0.8972583696743286,0.44150585279174487
2019-09-08 07:12:12,55,3216,338102861,31.12877,-81.40336,0.5,192.6,-0.9759167619387474,-0.2181432413965425
2019-09-08 07:13:14,56,3220,338102861,31.12844,-81.40335,0.6,173.7,-0.9939609554551796,0.10973431109104564
2019-09-08 07:14:24,57,3232,338102861,31.12803,-81.40304,0.4,108.2,-0.3123349185122325,0.9499720515246526
2019-09-08 07:15:30,58,3243,338102861,31.12802,-81.4025,0.9,121.6,-0.523985905970079,0.8517269341430477
2019-09-08 07:16:32,60,3263,338102861,31.12777,-81.40237,0.1,219.1,-0.7760464070665459,-0.6306758074312863
2019-09-08 07:17:38,61,3272,338102861,31.12768,-81.40266,1.7,262.5,-0.13052619222005163,-0.9914448613738104
2019-09-08 07:18:42,62,3281,338102861,31.12766,-81.40284,0.7,269.2,-0.013962180339145475,-0.9999025240093042
2019-09-08 07:19:44,63,3288,338102861,31.12758,-81.40296,1.9,218.7,-0.78043040733833,-0.6252426563357049
