,MMSI,BaseDateTime,LAT,LON,SOG,COG
13,368004680,2019-09-08T00:01:26,31.16682,-81.41572,0.0,348.3
35,368004680,2019-09-08T00:04:28,31.16683,-81.41571,0.0,348.3
55,368004680,2019-09-08T00:07:25,31.16682,-81.41571,0.0,348.3
79,368004680,2019-09-08T00:10:26,31.16681,-81.41572,0.0,348.3
101,368004680,2019-09-08T00:13:26,31.16682,-81.41572,0.0,348.3
124,368004680,2019-09-08T00:16:27,31.16681,-81.41572,0.0,348.3
150,368004680,2019-09-08T00:19:26,31.16681,-81.41572,0.0,348.3
173,368004680,2019-09-08T00:22:26,31.16683,-81.41571,0.0,348.3
191,368004680,2019-09-08T00:25:26,31.16683,-81.41574,0.0,348.3
225,368004680,2019-09-08T00:28:27,31.16683,-81.41572,0.0,348.3
241,368004680,2019-09-08T00:31:25,31.16682,-81.41572,0.0,348.3
256,368004680,2019-09-08T00:34:25,31.16681,-81.41572,0.0,348.3
283,368004680,2019-09-08T00:37:25,31.16682,-81.41573,0.0,348.3
300,368004680,2019-09-08T00:40:26,31.16682,-81.41571,0.0,348.3
321,368004680,2019-09-08T00:43:28,31.1668,-81.41571,0.0,348.3
354,368004680,2019-09-08T00:46:25,31.16679,-81.41572,0.0,348.3
366,368004680,2019-09-08T00:49:27,31.16678,-81.41572,0.0,348.3
381,368004680,2019-09-08T00:52:26,31.16684,-81.41572,0.0,348.3
397,368004680,2019-09-08T00:55:26,31.16677,-81.41572,0.0,348.3
438,368004680,2019-09-08T01:01:26,31.16683,-81.41572,0.0,348.3
461,368004680,2019-09-08T01:04:25,31.16682,-81.41573,0.0,348.3
483,368004680,2019-09-08T01:07:25,31.16683,-81.41572,0.0,348.3
505,368004680,2019-09-08T01:10:25,31.16683,-81.41571,0.0,348.3
536,368004680,2019-09-08T01:13:26,31.16682,-81.41571,0.0,348.3
574,368004680,2019-09-08T01:19:25,31.16681,-81.41572,0.0,348.3
595,368004680,2019-09-08T01:22:26,31.16682,-81.41571,0.0,348.3
607,368004680,2019-09-08T01:25:26,31.16681,-81.41572,0.0,348.3
635,368004680,2019-09-08T01:28:28,31.16681,-81.41572,0.0,348.3
658,368004680,2019-09-08T01:31:25,31.16682,-81.41571,0.0,348.3
