BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-09-08 08:50:06,146,4142,338102861,31.12952,-81.4033,0.4,340.1,0.940288127010419,-0.34037955021305005
2019-09-08 08:51:08,147,4147,338102861,31.12957,-81.40337,0.2,307.6,0.6101451639012682,-0.7922896433551903
2019-09-08 08:52:12,148,4160,338102861,31.12957,-81.40342,0.7,217.3,-0.7954734808548958,-0.6059884002657112
2019-09-08 08:53:26,149,4167,338102861,31.12946,-81.40341,0.2,179.2,-0.9999025240093042,0.013962180339145413
2019-09-08 08:54:30,150,4187,338102861,31.12942,-81.40342,0.3,196.4,-0.9593139745400576,-0.2823414568428763
2019-09-08 08:55:32,151,4190,338102861,31.12936,-81.40343,0.2,185.9,-0.9947028171171742,-0.10279253678724694
2019-09-08 08:56:36,152,4200,338102861,31.12932,-81.40345,0.2,203.3,-0.9184463813430871,-0.3955455025629652
2019-09-08 08:57:38,153,4204,338102861,31.1293,-81.40341,0.2,133.6,-0.6896195437356696,0.7241718614374677
2019-09-08 08:58:42,154,4206,338102861,31.12937,-81.40349,2.0,317.7,0.7396310949786093,-0.6730125135097736
2019-09-08 08:59:48,157,4248,338102861,31.12942,-81.40358,0.2,252.6,-0.2990407922560866,-0.9542403285162769
2019-09-08 09:00:00,155,4237,338102861,31.12942,-81.40357,0.0,241.9,-0.4710118812194099,-0.8821268660176679
