BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-09-08 04:10:47,172,1790,367305420,31.13694,-81.49569,7.0,162.6,-0.9542403285162768,0.299040792256087
2019-09-08 04:12:16,170,1768,367305420,31.13411,-81.49473,7.2,165.4,-0.9677091704819712,0.25206935824311344
2019-09-08 04:13:27,171,1780,367305420,31.13178,-81.49402,7.2,171.3,-0.9884938868086836,0.1512608202472192
2019-09-08 04:14:28,173,1794,367305420,31.12986,-81.49334,7.2,165.0,-0.9659258262890682,0.258819045102521
2019-09-08 04:16:27,174,1807,367305420,31.12557,-81.49262,7.9,176.2,-0.99780146829205,0.06627390040000057
2019-09-08 04:17:37,175,1815,367305420,31.12301,-81.49262,7.9,181.4,-0.9997014897811831,-0.024432178152653285
2019-09-08 04:18:46,177,1841,367305420,31.12048,-81.4931,8.0,198.8,-0.9466492601156963,-0.3222656952305114
