MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316028292,2019-01-02T00:00:04,49.30112,-123.28299,1.7,199.0,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316001247,2019-01-02T00:00:02,49.37926,-123.33074,0.0,128.6,298.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001257,2019-01-02T00:00:05,49.35679,-123.32287,19.7,214.0,215.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316026464,2019-01-02T00:00:07,49.30399,-123.28264,1.7,183.9,220.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316005622,2019-01-02T00:00:07,49.3027,-123.39808,6.8,140.0,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316022428,2019-01-02T00:00:10,49.33662,-123.45793,9.3,295.4,511.0,INLET KNIGHT,IMO0000000,,52.0,,18.0,8.0,,,B
316001262,2019-01-02T00:00:19,49.3764,-123.27092,0.0,349.2,191.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316001247,2019-01-02T00:01:06,49.37934,-123.33083,0.2,64.2,117.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316022428,2019-01-02T00:01:12,49.33779,-123.46155,9.4,297.0,511.0,INLET KNIGHT,IMO0000000,,52.0,,18.0,8.0,,,B
316001257,2019-01-02T00:01:12,49.35184,-123.32799,19.4,214.0,215.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316005622,2019-01-02T00:01:18,49.30106,-123.39586,6.8,136.3,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316026464,2019-01-02T00:01:18,49.30346,-123.28265,1.6,183.1,221.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316028292,2019-01-02T00:01:25,49.30047,-123.28286,1.6,183.7,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316001262,2019-01-02T00:01:40,49.3764,-123.27092,0.0,145.1,191.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316035869,2019-01-02T00:01:49,49.35753,-123.2707,0.0,342.8,511.0,STAR OF THE SEA,IMO0000000,,37.0,,6.0,2.0,,,B
316001247,2019-01-02T00:02:12,49.37939,-123.32946,5.7,70.1,65.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001257,2019-01-02T00:02:18,49.34694,-123.33309,19.4,214.1,215.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316026464,2019-01-02T00:02:26,49.30294,-123.28267,1.7,181.3,221.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316005622,2019-01-02T00:02:26,49.29946,-123.39363,6.8,136.8,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316001247,2019-01-02T00:03:13,49.38024,-123.32663,8.3,65.6,65.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001257,2019-01-02T00:03:30,49.34153,-123.33869,19.3,215.5,216.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316026464,2019-01-02T00:03:36,49.30239,-123.28269,1.7,181.3,221.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316028292,2019-01-02T00:03:54,49.29933,-123.28297,1.6,201.3,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316028292,2019-01-02T00:02:35,49.29994,-123.28285,1.7,175.5,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316026464,2019-01-02T00:04:37,49.30194,-123.28268,1.7,182.1,221.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316001257,2019-01-02T00:04:36,49.33686,-123.34402,19.3,217.1,218.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316028292,2019-01-02T00:05:04,49.29877,-123.28293,1.7,192.4,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316005622,2019-01-02T00:03:37,49.29781,-123.3913,6.8,136.2,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316001262,2019-01-02T00:03:40,49.3764,-123.27092,0.0,183.4,191.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316001247,2019-01-02T00:04:23,49.3812,-123.32256,8.7,79.9,80.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005622,2019-01-02T00:04:47,49.29628,-123.38903,6.8,136.9,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316001262,2019-01-02T00:04:59,49.3764,-123.27092,0.0,33.2,191.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316037287,2019-01-02T00:05:16,49.35634,-123.27148,0.0,77.2,511.0,SLIM SMITTY,IMO0000000,,37.0,,18.0,5.0,,,B
316001247,2019-01-02T00:05:32,49.38163,-123.31832,8.7,80.2,76.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001257,2019-01-02T00:05:42,49.33222,-123.3496,18.8,226.1,227.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316026464,2019-01-02T00:05:48,49.30139,-123.2827,1.7,181.0,221.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316005622,2019-01-02T00:05:58,49.29464,-123.38667,6.7,137.2,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316001247,2019-01-02T00:06:42,49.38205,-123.31409,8.6,81.9,79.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001262,2019-01-02T00:06:20,49.3764,-123.27092,0.0,73.5,191.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316028292,2019-01-02T00:06:15,49.29827,-123.28298,1.6,198.6,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316001257,2019-01-02T00:06:44,49.32986,-123.35674,18.6,253.0,255.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316026464,2019-01-02T00:06:57,49.30091,-123.28268,1.6,179.1,220.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316001257,2019-01-02T00:07:47,49.32836,-123.36504,19.2,255.1,256.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316001262,2019-01-02T00:07:48,49.3764,-123.27092,0.0,203.3,191.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316028292,2019-01-02T00:07:34,49.29769,-123.283,1.6,181.0,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316001247,2019-01-02T00:08:03,49.38231,-123.30904,8.7,87.0,82.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005622,2019-01-02T00:08:17,49.29159,-123.38212,6.6,131.7,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316026464,2019-01-02T00:08:08,49.30038,-123.28267,1.5,180.0,221.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
316028292,2019-01-02T00:08:35,49.29728,-123.28305,1.4,195.0,511.0,RIVER REBEL,,,,0.0,10.0,4.0,1.1,,A
316002059,2019-01-02T00:08:28,49.43863,-123.45699,7.8,171.5,172.0,GENERAL JACKSON,IMO5058674,CFL9803,31.0,0.0,32.0,8.0,4.1,52.0,A
316001257,2019-01-02T00:08:48,49.32706,-123.37318,19.5,256.8,258.0,QUEEN OF OAK BAY,IMO7902283,VG8234,60.0,0.0,139.0,27.0,5.5,,A
316001247,2019-01-02T00:09:12,49.38247,-123.30478,8.7,86.6,82.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001262,2019-01-02T00:09:19,49.3764,-123.27093,0.0,116.3,191.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316005622,2019-01-02T00:07:08,49.29307,-123.38443,6.6,138.9,511.0,WESTVIEW CHINOOK,,VG3278,31.0,0.0,13.0,6.0,2.7,,A
316002059,2019-01-02T00:09:38,49.43613,-123.45648,7.8,172.1,172.0,GENERAL JACKSON,IMO5058674,CFL9803,31.0,0.0,32.0,8.0,4.1,52.0,A
316026464,2019-01-02T00:09:16,49.29988,-123.28266,1.5,179.7,221.0,RIVER STAR,,,31.0,0.0,10.0,4.0,0.9,,A
