MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316005498,2020-06-01T04:16:55,49.32329,-123.27346,7.8,268.5,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001247,2020-06-01T04:15:53,49.37645,-123.27148,0.0,166.8,186.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316005498,2020-06-01T04:19:35,49.32297,-123.2824,8.0,269.9,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316001262,2020-06-01T04:18:43,49.42275,-123.43412,17.7,268.8,270.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316001247,2020-06-01T04:21:26,49.38272,-123.27233,8.5,306.4,295.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316001247,2020-06-01T04:20:24,49.38052,-123.27106,9.3,9.1,2.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316027057,2020-06-01T04:21:47,49.37889,-123.33283,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
311032100,2020-06-01T04:21:06,49.30683,-123.28443,11.3,232.0,230.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
316021258,2020-06-01T04:21:19,49.37618,-123.27366,0.0,292.9,511.0,AUXILIARY 1,,,51.0,,,,,,B
316005498,2020-06-01T04:21:55,49.32305,-123.29048,8.1,269.1,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
316005498,2020-06-01T04:20:46,49.32307,-123.28651,8.1,270.5,511.0,SEASPAN COMMANDER,IMO7043336,CFN6637,31.0,0.0,25.0,7.0,3.4,,A
311032100,2020-06-01T04:18:27,49.31202,-123.27427,11.1,232.0,230.0,AFRICAN SANDERLING,IMO9403059,C6YG6,70.0,0.0,189.0,32.0,12.8,79.0,A
316001262,2020-06-01T04:23:07,49.43339,-123.4597,14.5,324.3,324.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316001262,2020-06-01T04:22:04,49.42923,-123.45525,18.2,324.2,325.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
