,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
0,1,367073890,2019-09-07 00:00:06,31.1421,-81.49632,0.0,360.0
1,9,367073890,2019-09-07 00:01:07,31.1421,-81.4963,0.0,360.0
2,18,367073890,2019-09-07 00:02:16,31.1421,-81.49632,0.0,360.0
3,29,367073890,2019-09-07 00:03:36,31.1421,-81.49632,0.0,360.0
4,45,367073890,2019-09-07 00:04:55,31.14209,-81.49631,0.0,360.0
5,51,367073890,2019-09-07 00:06:07,31.1421,-81.49631,0.0,360.0
7,68,367073890,2019-09-07 00:07:16,31.14209,-81.49631,0.0,360.0
6,65,367073890,2019-09-07 00:08:26,31.1421,-81.49631,0.0,360.0
8,85,367073890,2019-09-07 00:10:05,31.14211,-81.49632,0.0,360.0
9,91,367073890,2019-09-07 00:11:17,31.14209,-81.49629,0.0,360.0
10,96,367073890,2019-09-07 00:12:26,31.14208,-81.49632,0.0,360.0
11,110,367073890,2019-09-07 00:13:47,31.1421,-81.49633,0.0,360.0
13,139,367073890,2019-09-07 00:14:55,31.14209,-81.49633,0.0,360.0
12,128,367073890,2019-09-07 00:16:06,31.14211,-81.49632,0.0,360.0
15,145,367073890,2019-09-07 00:17:17,31.1421,-81.49632,0.0,360.0
14,143,367073890,2019-09-07 00:18:26,31.14211,-81.49632,0.0,360.0
16,155,367073890,2019-09-07 00:19:46,31.14211,-81.49631,0.0,360.0
17,163,367073890,2019-09-07 00:21:26,31.14211,-81.49631,0.0,360.0
18,185,367073890,2019-09-07 00:22:47,31.1421,-81.49632,0.0,360.0
19,187,367073890,2019-09-07 00:25:07,31.14208,-81.49633,0.0,360.0
20,204,367073890,2019-09-07 00:26:17,31.1421,-81.49634,0.0,360.0
21,215,367073890,2019-09-07 00:27:26,31.1421,-81.49632,0.0,360.0
22,222,367073890,2019-09-07 00:29:05,31.1421,-81.49631,0.0,360.0
23,237,367073890,2019-09-07 00:30:16,31.14211,-81.49631,0.0,360.0
24,243,367073890,2019-09-07 00:32:36,31.1421,-81.49629,0.0,360.0
25,261,367073890,2019-09-07 00:33:55,31.1421,-81.49631,0.0,360.0
27,287,367073890,2019-09-07 00:35:55,31.14211,-81.49632,0.0,360.0
26,269,367073890,2019-09-07 00:37:36,31.14209,-81.49632,0.0,360.0
28,292,367073890,2019-09-07 00:40:05,31.14208,-81.49633,0.0,360.0
29,296,367073890,2019-09-07 00:41:26,31.14216,-81.49631,0.0,360.0
30,319,367073890,2019-09-07 00:42:36,31.14211,-81.49632,0.0,360.0
31,321,367073890,2019-09-07 00:45:35,31.14211,-81.49632,0.0,360.0
32,345,367073890,2019-09-07 00:46:46,31.14211,-81.49633,0.0,360.0
33,355,367073890,2019-09-07 00:49:35,31.14208,-81.49632,0.0,360.0
34,370,367073890,2019-09-07 00:51:16,31.14211,-81.49632,0.0,360.0
35,386,367073890,2019-09-07 00:54:25,31.1421,-81.49634,0.0,360.0
36,393,367073890,2019-09-07 00:56:25,31.14209,-81.49634,0.0,360.0
37,418,367073890,2019-09-07 00:57:37,31.14211,-81.49635,0.0,360.0
38,426,367073890,2019-09-07 00:58:46,31.14212,-81.49633,0.0,360.0
40,429,367073890,2019-09-07 00:59:56,31.14209,-81.49632,0.0,360.0
39,428,367073890,2019-09-07 01:00:07,31.14208,-81.49631,0.0,360.0
41,446,367073890,2019-09-07 01:01:17,31.14208,-81.4963,0.0,360.0
42,459,367073890,2019-09-07 01:02:36,31.1421,-81.49631,0.0,360.0
45,491,367073890,2019-09-07 01:03:46,31.14207,-81.49631,0.0,360.0
43,480,367073890,2019-09-07 01:04:56,31.14207,-81.49633,0.0,360.0
44,490,367073890,2019-09-07 01:06:16,31.14209,-81.49634,0.0,360.0
46,502,367073890,2019-09-07 01:07:27,31.14209,-81.49631,0.0,360.0
47,509,367073890,2019-09-07 01:08:36,31.14209,-81.49632,0.0,360.0
48,523,367073890,2019-09-07 01:09:56,31.14211,-81.49632,0.0,360.0
49,545,367073890,2019-09-07 01:11:06,31.14211,-81.49632,0.0,360.0
50,547,367073890,2019-09-07 01:12:36,31.14213,-81.49633,0.0,360.0
51,564,367073890,2019-09-07 01:13:46,31.14211,-81.49631,0.0,360.0
52,569,367073890,2019-09-07 01:14:56,31.1421,-81.49631,0.0,360.0
53,576,367073890,2019-09-07 01:16:26,31.14211,-81.49632,0.0,360.0
54,587,367073890,2019-09-07 01:17:37,31.1421,-81.49632,0.0,360.0
55,606,367073890,2019-09-07 01:19:26,31.14209,-81.49631,0.0,360.0
56,613,367073890,2019-09-07 01:20:45,31.14209,-81.4963,0.0,360.0
57,644,367073890,2019-09-07 01:22:45,31.1421,-81.4963,0.0,360.0
58,648,367073890,2019-09-07 01:23:55,31.14209,-81.49631,0.0,360.0
59,651,367073890,2019-09-07 01:26:15,31.14209,-81.4963,0.0,360.0
60,673,367073890,2019-09-07 01:27:27,31.1421,-81.49631,0.0,360.0
61,689,367073890,2019-09-07 01:29:45,31.1421,-81.4963,0.0,360.0
62,705,367073890,2019-09-07 01:30:57,31.14209,-81.49631,0.0,360.0
63,708,367073890,2019-09-07 01:32:45,31.14209,-81.49631,0.0,360.0
64,719,367073890,2019-09-07 01:35:06,31.14209,-81.49631,0.0,360.0
65,746,367073890,2019-09-07 01:36:26,31.14209,-81.4963,0.0,360.0
66,756,367073890,2019-09-07 01:37:35,31.1421,-81.49631,0.0,360.0
67,763,367073890,2019-09-07 01:38:45,31.1421,-81.49634,0.0,360.0
68,766,367073890,2019-09-07 01:39:46,31.1421,-81.49632,0.0,360.0
69,787,367073890,2019-09-07 01:40:57,31.14209,-81.49631,0.0,360.0
70,803,367073890,2019-09-07 01:43:46,31.14209,-81.49631,0.0,360.0
72,826,367073890,2019-09-07 01:46:46,31.1421,-81.49631,0.0,360.0
71,821,367073890,2019-09-07 01:48:15,31.14209,-81.49631,0.0,360.0
73,862,367073890,2019-09-07 01:51:35,31.14208,-81.49632,0.0,360.0
74,868,367073890,2019-09-07 01:52:46,31.14207,-81.49627,0.0,360.0
75,872,367073890,2019-09-07 01:54:35,31.14209,-81.4963,0.0,360.0
76,898,367073890,2019-09-07 01:56:35,31.14209,-81.4963,0.0,360.0
78,919,367073890,2019-09-07 01:57:37,31.1421,-81.4963,0.0,360.0
77,918,367073890,2019-09-07 01:58:46,31.1421,-81.49631,0.0,360.0
80,944,367073890,2019-09-07 01:59:57,31.14209,-81.49632,0.0,360.0
79,940,367073890,2019-09-07 02:00:46,31.14211,-81.49632,0.0,360.0
81,952,367073890,2019-09-07 02:01:57,31.1421,-81.49633,0.0,360.0
82,963,367073890,2019-09-07 02:03:07,31.14209,-81.49632,0.0,360.0
83,972,367073890,2019-09-07 02:04:16,31.1421,-81.49632,0.0,360.0
84,981,367073890,2019-09-07 02:05:26,31.14209,-81.49632,0.0,360.0
85,1001,367073890,2019-09-07 02:06:36,31.14209,-81.4963,0.0,360.0
86,1008,367073890,2019-09-07 02:07:46,31.1421,-81.49634,0.0,360.0
87,1017,367073890,2019-09-07 02:08:47,31.14211,-81.49631,0.0,360.0
88,1029,367073890,2019-09-07 02:09:57,31.1421,-81.49633,0.0,360.0
89,1043,367073890,2019-09-07 02:11:06,31.14207,-81.49632,0.0,360.0
90,1055,367073890,2019-09-07 02:12:16,31.14203,-81.4963,0.0,360.0
91,1059,367073890,2019-09-07 02:13:35,31.14204,-81.49631,0.0,360.0
92,1071,367073890,2019-09-07 02:15:06,31.1421,-81.49631,0.0,360.0
93,1082,367073890,2019-09-07 02:16:16,31.1421,-81.4963,0.0,360.0
94,1094,367073890,2019-09-07 02:17:57,31.14211,-81.49631,0.0,360.0
95,1121,367073890,2019-09-07 02:20:16,31.14209,-81.49631,0.0,360.0
96,1138,367073890,2019-09-07 02:21:26,31.14206,-81.49626,0.0,360.0
97,1150,367073890,2019-09-07 02:23:06,31.14208,-81.49631,0.0,360.0
98,1161,367073890,2019-09-07 02:24:17,31.14208,-81.49632,0.0,360.0
100,1190,367073890,2019-09-07 02:26:06,31.14208,-81.4963,0.0,360.0
99,1187,367073890,2019-09-07 02:27:16,31.14209,-81.49631,0.0,360.0
101,1200,367073890,2019-09-07 02:28:17,31.14209,-81.49631,0.0,360.0
102,1205,367073890,2019-09-07 02:29:26,31.14211,-81.49632,0.0,360.0
103,1210,367073890,2019-09-07 02:31:17,31.14209,-81.49634,0.0,360.0
104,1219,367073890,2019-09-07 02:33:06,31.14209,-81.4963,0.0,360.0
105,1239,367073890,2019-09-07 02:35:06,31.1421,-81.4963,0.0,360.0
106,1251,367073890,2019-09-07 02:37:06,31.14207,-81.4963,0.0,360.0
107,1257,367073890,2019-09-07 02:38:17,31.14208,-81.49631,0.0,360.0
