,MMSI,BaseDateTime,LAT,LON,SOG,COG
6,367063030,2019-09-07T00:00:18,31.11728,-81.3636,12.2,124.4
15,367063030,2019-09-07T00:01:38,31.11476,-81.35927,12.1,128.1
26,367063030,2019-09-07T00:02:58,31.11206,-81.35512,12.1,119.1
34,367063030,2019-09-07T00:04:08,31.11004,-81.35121,12.0,123.8
44,367063030,2019-09-07T00:05:18,31.10787,-81.34745,12.0,121.4
54,367063030,2019-09-07T00:06:58,31.10437,-81.34332,8.8,164.3
78,367063030,2019-09-07T00:08:09,31.10215,-81.34328,5.4,183.7
81,367063030,2019-09-07T00:09:18,31.10068,-81.34279,4.1,136.3
88,367063030,2019-09-07T00:10:59,31.09997,-81.341,4.4,111.3
100,367063030,2019-09-07T00:12:39,31.09894,-81.33942,3.1,137.1
109,367063030,2019-09-07T00:14:19,31.098,-81.33849,2.8,138.4
124,367063030,2019-09-07T00:16:09,31.09749,-81.33685,4.2,96.0
130,367063030,2019-09-07T00:18:08,31.09626,-81.33437,4.4,138.0
152,367063030,2019-09-07T00:20:08,31.09443,-81.33343,3.1,176.0
170,367063030,2019-09-07T00:21:19,31.09344,-81.3332,3.3,160.4
176,367063030,2019-09-07T00:23:08,31.09257,-81.33196,2.2,91.2
210,367063030,2019-09-07T00:25:19,31.09286,-81.33075,1.5,75.7
211,367063030,2019-09-07T00:26:39,31.09295,-81.33016,1.3,81.1
309,367063030,2019-09-07T00:41:59,31.09401,-81.33123,2.9,220.0
310,367063030,2019-09-07T00:43:19,31.0931,-81.332,3.1,218.7
318,367063030,2019-09-07T00:44:49,31.09228,-81.33313,2.9,250.8
322,367063030,2019-09-07T00:46:08,31.09244,-81.33419,2.5,311.7
339,367063030,2019-09-07T00:47:27,31.09328,-81.33458,2.7,353.4
347,367063030,2019-09-07T00:49:19,31.09451,-81.33511,2.4,300.2
369,367063030,2019-09-07T00:51:19,31.09421,-81.33655,2.7,238.4
376,367063030,2019-09-07T00:53:19,31.09368,-81.33824,2.8,271.0
387,367063030,2019-09-07T00:55:19,31.09463,-81.3392,3.3,3.3
400,367063030,2019-09-07T00:57:19,31.09732,-81.33864,5.4,358.3
410,367063030,2019-09-07T00:58:39,31.09907,-81.33945,4.9,311.1
430,367063030,2019-09-07T00:59:49,31.09942,-81.34124,5.2,268.5
442,367063030,2019-09-07T01:00:07,31.0994,-81.34174,5.2,268.8
443,367063030,2019-09-07T01:01:19,31.09989,-81.34356,4.8,322.2
456,367063030,2019-09-07T01:02:29,31.10143,-81.34396,5.0,345.0
468,367063030,2019-09-07T01:03:38,31.10214,-81.34533,4.8,276.5
499,367063030,2019-09-07T01:04:59,31.10261,-81.34707,2.9,310.8
510,367063030,2019-09-07T01:08:38,31.10327,-81.34658,1.0,121.8
518,367063030,2019-09-07T01:06:09,31.10321,-81.34729,1.6,17.8
520,367063030,2019-09-07T01:07:29,31.10341,-81.34691,0.9,96.4
525,367063030,2019-09-07T01:10:08,31.10304,-81.34623,0.7,121.4
542,367063030,2019-09-07T01:11:58,31.10281,-81.3459,0.8,138.1
552,367063030,2019-09-07T01:13:08,31.10265,-81.34571,0.7,134.2
572,367063030,2019-09-07T01:15:18,31.10234,-81.34537,0.7,143.0
583,367063030,2019-09-07T01:16:29,31.10217,-81.34521,0.8,140.8
588,367063030,2019-09-07T01:17:48,31.10197,-81.34505,0.6,145.9
597,367063030,2019-09-07T01:14:17,31.10248,-81.34552,0.7,142.1
611,367063030,2019-09-07T01:19:48,31.10165,-81.34481,0.7,150.7
619,367063030,2019-09-07T01:21:39,31.10134,-81.34464,0.6,152.3
631,367063030,2019-09-07T01:23:28,31.10105,-81.3445,0.6,153.5
642,367063030,2019-09-07T01:24:39,31.10086,-81.3444,0.7,154.3
652,367063030,2019-09-07T01:26:28,31.10057,-81.34427,0.4,165.6
662,367063030,2019-09-07T01:27:39,31.1004,-81.3442,0.5,166.9
669,367063030,2019-09-07T01:28:49,31.10021,-81.34415,0.7,157.6
696,367063030,2019-09-07T01:29:58,31.10005,-81.34408,0.5,166.5
704,367063030,2019-09-07T01:31:08,31.09988,-81.344,0.7,163.8
715,367063030,2019-09-07T01:33:39,31.09948,-81.34384,0.6,159.8
734,367063030,2019-09-07T01:34:49,31.09932,-81.34378,0.5,161.1
735,367063030,2019-09-07T01:36:48,31.09907,-81.34377,0.5,184.5
744,367063030,2019-09-07T01:38:09,31.0989,-81.34379,0.4,189.5
759,367063030,2019-09-07T01:39:18,31.09879,-81.34383,0.0,0.0
774,367063030,2019-09-07T01:40:39,31.09864,-81.34386,0.0,0.0
778,367063030,2019-09-07T01:41:59,31.0986,-81.34373,1.1,66.2
798,367063030,2019-09-07T01:43:08,31.0989,-81.34316,2.4,59.7
801,367063030,2019-09-07T01:44:38,31.09971,-81.34254,2.3,4.0
807,367063030,2019-09-07T01:45:48,31.10023,-81.34289,1.9,297.1
819,367063030,2019-09-07T01:48:48,31.09982,-81.34379,0.9,205.0
822,367063030,2019-09-07T01:47:38,31.10009,-81.34359,1.1,224.2
849,367063030,2019-09-07T01:50:29,31.09943,-81.34395,0.9,193.7
864,367063030,2019-09-07T01:52:29,31.09933,-81.34386,0.0,0.0
867,367063030,2019-09-07T01:54:19,31.0993,-81.3438,0.0,0.0
886,367063030,2019-09-07T01:55:48,31.09928,-81.34375,0.0,0.0
909,367063030,2019-09-07T01:57:49,31.09926,-81.34368,0.0,0.0
911,367063030,2019-09-07T01:59:38,31.09918,-81.34336,0.0,0.0
932,367063030,2019-09-07T01:59:59,31.09918,-81.34334,0.0,0.0
941,367063030,2019-09-07T02:01:09,31.09916,-81.34324,0.0,0.0
956,367063030,2019-09-07T02:02:18,31.09916,-81.3432,0.0,0.0
962,367063030,2019-09-07T02:03:29,31.09914,-81.34316,0.0,0.0
976,367063030,2019-09-07T02:04:38,31.0991,-81.34305,0.0,0.0
993,367063030,2019-09-07T02:05:49,31.09909,-81.34301,0.0,0.0
1002,367063030,2019-09-07T02:06:59,31.09908,-81.3427,0.7,76.7
1009,367063030,2019-09-07T02:08:08,31.0991,-81.34246,0.6,88.4
1021,367063030,2019-09-07T02:09:09,31.09909,-81.34228,0.4,110.0
1035,367063030,2019-09-07T02:10:19,31.09907,-81.34209,0.5,101.4
1047,367063030,2019-09-07T02:11:29,31.09906,-81.34193,0.0,0.0
1057,367063030,2019-09-07T02:12:38,31.09906,-81.34178,0.4,102.4
1070,367063030,2019-09-07T02:13:48,31.09903,-81.34166,0.0,0.0
1079,367063030,2019-09-07T02:14:59,31.09901,-81.34152,0.4,98.8
1087,367063030,2019-09-07T02:16:18,31.099,-81.3414,0.0,0.0
