,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
0,2,369201000,2019-09-07 00:00:07,31.15667,-81.49924,0.0,14.3
1,28,369201000,2019-09-07 00:03:07,31.15665,-81.49923,0.0,14.3
2,53,369201000,2019-09-07 00:06:07,31.15669,-81.49924,0.0,14.3
3,76,369201000,2019-09-07 00:09:07,31.15671,-81.49925,0.0,14.3
4,99,369201000,2019-09-07 00:12:08,31.15673,-81.49925,0.0,14.3
5,136,369201000,2019-09-07 00:15:07,31.15671,-81.49927,0.0,14.3
6,168,369201000,2019-09-07 00:21:08,31.15669,-81.49922,0.0,14.3
7,214,369201000,2019-09-07 00:24:07,31.15667,-81.49921,0.0,14.3
8,216,369201000,2019-09-07 00:27:08,31.15669,-81.49923,0.0,14.3
9,236,369201000,2019-09-07 00:30:07,31.15671,-81.49922,0.0,14.3
10,255,369201000,2019-09-07 00:33:07,31.15669,-81.49924,0.0,14.3
11,273,369201000,2019-09-07 00:36:08,31.1567,-81.49925,0.0,14.3
12,286,369201000,2019-09-07 00:39:07,31.1567,-81.49925,0.0,14.3
13,316,369201000,2019-09-07 00:42:07,31.15673,-81.49922,0.0,14.3
14,340,369201000,2019-09-07 00:45:08,31.15669,-81.49924,0.0,14.3
15,366,369201000,2019-09-07 00:48:07,31.15672,-81.49923,0.0,14.3
16,379,369201000,2019-09-07 00:51:08,31.15672,-81.49925,0.0,14.3
17,403,369201000,2019-09-07 00:57:07,31.1567,-81.49923,0.0,14.3
18,432,369201000,2019-09-07 01:00:07,31.1567,-81.49922,0.0,14.3
19,460,369201000,2019-09-07 01:03:07,31.15672,-81.4992,0.0,14.3
21,517,369201000,2019-09-07 01:06:07,31.15672,-81.49922,0.0,14.3
20,515,369201000,2019-09-07 01:09:07,31.1567,-81.49924,0.0,14.3
22,548,369201000,2019-09-07 01:12:09,31.15671,-81.49923,0.0,14.3
23,563,369201000,2019-09-07 01:15:09,31.15671,-81.49923,0.0,14.3
24,599,369201000,2019-09-07 01:18:07,31.15668,-81.49923,0.0,14.3
