BaseDateTime,Unnamed: 0,Unnamed: 0.1,MMSI,LAT,LON,SOG,COG,cos_COG,sin_COG
2019-09-07 19:00:06,516,8763,367063030,31.10197,-81.34522,1.1,279.7,0.16848937956500254,-0.9857034690888535
2019-09-07 19:01:16,517,8770,367063030,31.102,-81.34562,1.0,279.2,0.15988118769183446,-0.987136265072988
2019-09-07 19:02:25,518,8780,367063030,31.10215,-81.34602,1.3,312.2,0.6717205893229896,-0.7408045962867505
2019-09-07 19:03:35,519,8794,367063030,31.10287,-81.34652,4.4,334.3,0.9010770213220917,-0.4336590845875442
2019-09-07 19:04:46,520,8800,367063030,31.10448,-81.34768,6.6,324.0,0.8090169943749473,-0.5877852522924734
2019-09-07 19:06:06,521,8806,367063030,31.1065,-81.34965,7.7,321.8,0.7858568931754021,-0.6184083953575539
2019-09-07 19:07:15,522,8814,367063030,31.10859,-81.35136,8.2,323.1,0.7996846584870905,-0.6004202253258841
2019-09-07 19:08:26,524,8838,367063030,31.11085,-81.35364,10.3,314.9,0.7058715706786809,-0.7083398377245289
2019-09-07 19:09:35,523,8824,367063030,31.11312,-81.35673,11.1,307.9,0.6142852000989428,-0.789084084834691
